,Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers,year
8,Colorado Rockies,"2,953,650","36,465",28.3,27.0,117,116,0,4,12,"$106,650,000 ",3:11,38,16,42%,Black,2017
9,Detroit Tigers,"2,321,599","28,662",29.6,28.3,101,102,0,2,16,"$118,375,600 ",3:14,37,16,43%,Ausmus,2017
10,Houston Astros,"2,403,671","29,675",28.8,28.5,94,93,0,6,16,"$157,656,400 ",3:10,39,18,46%,Hinch,2017
11,Kansas City Royals,"2,220,370","27,412",28.9,30.3,101,102,0,3,18,"$127,555,817 ",3:02,34,24,70%,Yost,2017
12,Los Angeles Angels,"3,019,585","37,279",29.9,29.1,97,97,0,1,8,"$181,125,500 ",3:11,39,21,53%,Scioscia,2017
13,Los Angeles Dodgers,"3,765,856","46,492",27.9,29.7,96,95,0,6,20,"$201,466,263 ",3:11,36,23,63%,Roberts,2017
14,Miami Marlins,"1,583,014","20,295",28.3,28.7,90,91,0,2,10,"$111,591,100 ",3:06,35,18,51%,Mattingly,2017
15,Milwaukee Brewers,"2,627,705","31,282",27.4,28.3,101,101,0,1,10,"$68,439,300 ",3:10,43,17,39%,Counsell,2017
16,Minnesota Twins,"2,051,279","25,324",27.1,29.6,100,101,0,3,17,"$103,932,500 ",3:11,28,19,67%,Molitor,2017
17,New York Mets,"2,460,622","30,378",28.9,27.5,94,95,0,1,13,"$176,615,252 ",3:09,39,23,58%,Collins,2017
18,New York Yankees,"3,154,938","38,950",28.6,27.8,104,103,0,5,17,"$182,424,700 ",3:16,40,30,75%,Girardi,2017
19,Oakland Athletics,"1,475,721","18,219",28.7,27.9,95,95,0,1,13,"$51,560,000 ",3:09,32,16,50%,Melvin,2017
20,Philadelphia Phillies,"1,905,354","23,523",26.6,26.8,98,99,0,1,7,"$86,276,000 ",3:08,29,17,58%,Mackanin,2017
21,Pittsburgh Pirates,"1,919,447","23,697",28.2,27.1,97,98,0,1,10,"$102,953,333 ",3:07,49,31,63%,Hurdle,2017
22,San Diego Padres,"2,138,491","26,401",26.2,27.7,95,97,0,1,7,"$49,248,767 ",3:00,42,17,40%,Green,2017
23,Seattle Mariners,"2,135,445","26,364",29.6,27.9,95,95,0,2,13,"$172,438,700 ",3:06,34,17,50%,Servais,2017
24,San Francisco Giants,"3,303,652","40,786",29.5,28.9,98,98,0,1,14,"$177,399,833 ",3:04,31,19,61%,Bochy,2017
25,St. Louis Cardinals,"3,448,337","42,572",28.0,28.3,98,97,0,2,15,"$129,652,933 ",3:04,50,26,52%,Matheny,2017
26,Tampa Bay Rays,"1,253,619","15,477",28.3,27.6,96,96,0,2,13,"$79,473,033 ",3:13,59,29,49%,Cash,2017
27,Texas Rangers,"2,507,760","30,960",28.4,28.8,110,110,0,1,13,"$207,326,274 ",3:13,62,33,53%,Banister,2017
28,Toronto Blue Jays,"3,203,886","39,554",31.0,28.8,101,102,0,2,15,"$158,890,575 ",3:09,45,12,26%,Gibbons,2017
29,Washington Nationals,"2,524,980","31,173",29.2,30.1,104,103,0,5,15,"$175,587,301 ",3:09,32,12,37%,Baker,2017
