Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers,year
Arizona Diamondbacks,1605199,19817,26.5,30,98,99,0,1,9,"$78,860,000 ",3:06,40,19,47%,Lovullo,2022
Atlanta Braves,3129931,38641,27.5,30,105,103,0,6,20,"$171,075,000 ",3:07,37,21,56%,Snitker,2022
Baltimore Orioles,1368367,16893,27,27.7,99,100,0,1,8,"$48,000,000 ",3:08,45,23,51%,Hyde,2022
Boston Red Sox,2625089,32409,28.8,30.2,108,108,0,3,11,"$191,920,000 ",3:11,18,8,44%,Cora,2022
Chicago Cubs,2616780,32306,27.9,29.5,103,103,0,2,8,"$131,085,000 ",3:06,47,19,40%,Ross,2022
Chicago White Sox,2009359,24807,29.3,29.6,101,101,0,2,12,"$163,958,334 ",3:08,26,12,46%,La Russa and Cairo,2022
Cincinnati Reds,1395770,17232,29.4,27.9,107,108,0,1,5,"$111,882,381 ",3:06,37,18,48%,Bell,2022
Cleveland Guardians,1295870,15998,25.9,26.3,98,97,0,3,4,"$65,960,000 ",3:01,39,23,58%,Francona,2022
Colorado Rockies,2597428,32067,29,29.1,112,114,0,1,8,"$112,605,000 ",3:05,28,14,50%,Black,2022
Detroit Tigers,1575544,19214,27.9,27.5,99,100,0,2,8,"$117,740,000 ",2:58,44,23,52%,Hinch,2022
Houston Astros,2688998,33198,29.3,29.4,100,98,0,5,13,"$164,789,600 ",3:06,29,16,55%,Baker,2022
Kansas City Royals,1277686,15774,27.1,27.3,103,105,0,1,6,"$94,410,000 ",3:03,42,23,54%,Matheny,2022
Los Angeles Angels,2457461,30339,28,27.4,103,104,0,2,7,"$177,063,095 ",3:07,42,16,38%,Maddon and Nevin,2022
Los Angeles Dodgers,3861408,47672,29.6,28.8,101,99,0,6,18,"$261,180,131 ",3:08,33,12,36%,Roberts,2022
Miami Marlins,907487,11204,28.9,27.6,98,99,0,3,9,"$68,200,000 ",3:06,36,17,47%,Mattingly,2022
Milwaukee Brewers,2422420,29906,29.1,28.6,100,100,0,3,11,"$128,421,127 ",3:11,33,19,57%,Counsell,2022
Minnesota Twins,1801128,22236,26.9,28.9,100,100,0,2,12,"$110,792,857 ",3:07,51,26,50%,Baldelli,2022
New York Mets,2564737,31663,29.7,31.2,96,95,0,4,14,"$237,473,333 ",3:10,33,26,78%,Showalter,2022
New York Yankees,3136207,38719,30.3,29.2,101,100,0,6,17,"$238,950,714 ",3:13,33,19,57%,Boone,2022
Oakland Athletics,787902,9849,28.3,28,94,95,0,1,5,"$50,248,334 ",3:02,34,15,44%,Kotsay,2022
Philadelphia Phillies,2276736,28108,28.2,29.2,99,98,0,2,15,"$209,488,461 ",3:11,42,18,42%,Girardi and Thomson,2022
Pittsburgh Pirates,1257458,15524,26.3,27.3,100,102,0,1,5,"$37,925,000 ",3:04,31,14,45%,Shelton,2022
San Diego Padres,2987470,36882,28.2,30.3,93,93,0,3,13,"$173,600,824 ",3:13,36,19,52%,Melvin,2022
Seattle Mariners,2287267,28238,27.6,27.9,96,95,0,2,13,"$78,285,000 ",3:06,19,9,47%,Servais,2022
San Francisco Giants,2482686,30650,30,29.1,98,98,0,2,10,"$134,929,667 ",3:08,31,14,45%,Kapler,2022
St. Louis Cardinals,3320551,40994,28.8,29.4,96,95,0,5,10,"$156,814,666 ",3:08,35,21,60%,Marmol,2022
Tampa Bay Rays,1128127,13927,27,29.1,96,94,0,1,8,"$73,004,211 ",3:03,42,20,47%,Cash,2022
Texas Rangers,2011361,24832,28,28.3,101,101,0,2,9,"$120,176,667 ",3:05,49,17,34%,Woodward and Beasley,2022
Toronto Blue Jays,2653830,32763,27.1,29.7,99,98,0,6,18,"$165,705,857 ",3:06,48,21,43%,Montoyo and Schneider,2022
Washington Nationals,2026401,25017,28.7,29.7,95,97,0,1,11,"$125,051,666 ",3:07,30,13,43%,Martinez,2022
